col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,Y
214,84,1.0,166,0,0,0,0,1
195,30,0.6,95,0,0,0,0,1
143,101,1.8,140,0,0,0,0,0
167,41,1.9,159,0,0,0,0,0
182,106,1.6,131,0,0,0,0,0
148,108,1.7,64,0,0,0,0,0
173,44,1.8,159,0,0,0,0,1
167,36,0.2,125,0,0,0,0,1
188,32,0.2,64,0,0,0,0,0
162,67,0.1,67,0,0,0,0,0
186,113,0.9,136,0,0,0,0,1
163,110,1.6,119,0,0,0,0,0
217,42,0.2,133,0,0,0,0,0
172,81,0.1,97,0,0,0,0,1
141,55,0.5,71,0,0,0,0,0
171,104,1.2,134,0,0,0,0,1
162,58,1.9,171,0,0,0,0,1
207,37,0.5,63,0,0,0,0,0
216,93,1.1,158,0,0,0,0,1
141,60,1.0,94,0,0,0,0,0
150,33,1.1,114,0,0,0,0,0
179,56,1.8,93,0,0,0,0,0
208,112,1.0,99,0,0,0,0,1
186,86,1.2,114,0,0,0,0,0
158,30,0.8,64,0,0,0,0,0
208,126,0.0,103,0,0,0,0,1
158,35,1.6,96,0,0,0,0,0
161,45,0.7,75,0,0,0,0,0
212,51,1.1,98,0,0,0,0,0
162,98,1.0,119,0,0,0,0,1
151,110,1.9,111,0,0,0,0,0
215,76,0.7,120,0,0,0,0,1
180,126,1.1,122,0,0,0,0,1
152,89,1.3,91,0,0,0,0,0
187,61,1.8,165,0,0,0,0,1
154,128,1.1,135,0,0,0,0,1
180,97,0.6,107,0,0,0,0,1
198,91,1.9,152,0,0,0,0,1
154,63,0.7,104,0,0,0,0,0
210,49,0.8,98,0,0,0,0,1
152,115,2.0,144,0,0,0,0,0
154,52,1.8,150,0,0,0,0,0
163,53,1.3,161,0,0,0,0,1
181,54,1.9,63,0,0,0,0,0
219,109,1.0,143,0,0,0,0,1
213,117,0.3,83,0,0,0,0,1
177,98,1.6,174,0,0,0,0,1
203,83,0.3,123,0,0,0,0,1
173,99,0.6,62,0,0,0,0,0
167,48,0.9,132,0,0,0,0,1
144,82,1.9,92,0,0,0,0,0
217,103,0.6,79,0,0,0,0,1
159,37,1.5,170,0,0,0,0,1
184,39,1.7,170,0,0,0,0,1
218,71,0.6,159,0,0,0,0,0
144,40,0.8,170,0,0,0,0,1
180,113,1.8,119,0,0,0,0,0
192,110,0.9,133,0,0,0,0,1
217,82,1.9,105,0,0,0,0,0
164,39,0.7,161,0,0,0,0,1
186,38,2.0,161,0,0,0,0,1
185,94,0.8,115,0,0,0,0,1
175,72,2.0,67,0,0,0,0,0
210,127,0.8,93,0,0,0,0,1
143,35,1.6,81,0,0,0,0,0
143,66,1.1,119,0,0,0,0,0
182,119,1.1,82,0,0,0,0,0
208,37,0.3,143,0,0,0,0,0
217,97,0.7,179,0,0,0,0,0
175,47,1.3,155,0,0,0,0,1
146,46,1.5,108,0,0,0,0,0
193,50,1.4,83,0,0,0,0,0
172,85,2.0,159,0,0,0,0,0
157,103,2.0,139,0,0,0,0,0
206,65,1.1,78,0,0,0,0,0
197,94,0.1,82,0,0,0,0,1
150,78,1.1,79,0,0,0,0,0
143,48,1.6,149,0,0,0,0,0
181,117,1.2,62,0,0,0,0,0
218,40,1.0,129,0,0,0,0,1
205,41,1.4,105,0,0,0,0,0
165,37,0.7,175,0,0,0,0,1
150,108,0.9,154,0,0,0,0,1
172,91,1.6,125,0,0,0,0,0
207,79,1.6,87,0,0,0,0,0
188,48,1.4,177,0,0,0,0,1
156,101,0.3,83,0,0,0,0,0
218,62,0.0,132,0,0,0,0,0
180,88,0.4,155,0,0,0,0,1
190,65,0.8,113,0,0,0,0,1
184,50,0.4,60,0,0,0,0,0
164,89,0.4,64,0,0,0,0,0
176,64,0.2,175,0,0,0,0,0
156,114,0.5,74,0,0,0,0,0
188,108,0.3,62,0,0,0,0,0
203,65,0.9,158,0,0,0,0,1
151,115,0.6,127,0,0,0,0,1
141,122,1.7,122,0,0,0,0,0
168,43,0.5,88,0,0,0,0,0
174,58,1.8,143,0,0,0,0,0
155,106,1.1,175,0,0,0,0,1
216,96,0.3,176,0,0,0,0,0
147,63,1.9,130,0,0,0,0,0
162,129,0.7,175,0,0,0,0,1
218,73,1.5,84,0,0,0,0,0
178,34,0.4,82,0,0,0,0,1
194,35,2.0,86,0,0,0,0,0
155,86,1.1,123,0,0,0,0,0
173,113,1.0,167,0,0,0,0,1
182,48,0.7,84,0,0,0,0,0
189,87,0.6,63,0,0,0,0,0
172,77,0.3,106,0,0,0,0,1
205,95,0.8,148,0,0,0,0,1
204,46,0.9,96,0,0,0,0,1
183,128,1.1,117,0,0,0,0,1
210,94,0.2,103,0,0,0,0,1
204,110,0.4,79,0,0,0,0,1
203,52,1.6,161,0,0,0,0,1
168,49,1.0,104,0,0,0,0,0
201,74,1.4,115,0,0,0,0,0
175,73,0.5,73,0,0,0,0,0
152,113,0.4,101,0,0,0,0,1
172,77,0.0,94,0,0,0,0,1
214,44,0.5,113,0,0,0,0,1
202,60,1.8,135,0,0,0,0,0
217,120,0.7,148,0,0,0,0,1
197,43,0.8,144,0,0,0,0,1
212,99,0.6,103,0,0,0,0,1
147,38,0.4,159,0,0,0,0,1
184,45,0.6,87,0,0,0,0,0
151,58,1.4,68,0,0,0,0,0
146,81,0.6,81,0,0,0,0,0
205,30,0.8,144,0,0,0,0,1
154,78,1.9,74,0,0,0,0,0
172,81,1.0,142,0,0,0,0,1
208,76,0.5,124,0,0,0,0,1
151,116,1.6,112,0,0,0,0,0
198,96,0.8,143,0,0,0,0,1
179,70,1.7,72,0,0,0,0,0
165,46,0.8,163,0,0,0,0,1
210,75,1.0,162,0,0,0,0,1
208,93,1.9,129,0,0,0,0,0
166,109,1.1,141,0,0,0,0,1
153,36,0.9,160,0,0,0,0,1
186,58,0.4,146,0,0,0,0,1
142,102,0.7,150,0,0,0,0,1
215,121,1.5,146,0,0,0,0,1
197,98,0.6,112,0,0,0,0,1
200,80,0.7,150,0,0,0,0,1
173,64,1.3,63,0,0,0,0,0
150,95,0.3,95,0,0,0,0,1
165,56,1.4,62,0,0,0,0,0
206,91,0.4,150,0,0,0,0,0
152,100,0.4,176,0,0,0,0,0
171,123,1.7,133,0,0,0,0,0
157,40,1.0,171,0,0,0,0,1
215,48,1.2,60,0,0,0,0,0
146,60,1.2,179,0,0,0,0,1
154,58,0.4,75,0,0,0,0,0
147,49,0.8,87,0,0,0,0,0
217,128,1.0,134,0,0,0,0,1
153,109,0.2,118,0,0,0,0,1
216,84,1.2,131,0,0,0,0,1
203,81,0.7,80,0,0,0,0,0
179,114,1.7,72,0,0,0,0,0
182,108,1.6,107,0,0,0,0,0
159,71,0.9,161,0,0,0,0,1
146,104,1.7,106,0,0,0,0,0
194,80,1.0,90,0,0,0,0,0
195,122,0.4,70,0,0,0,0,0
161,40,0.4,111,0,0,0,0,1
174,75,1.8,153,0,0,0,0,1
179,52,1.9,161,0,0,0,0,1
210,46,0.4,91,0,0,0,0,1
158,105,0.8,96,0,0,0,0,0
147,84,0.9,113,0,0,0,0,0
150,82,0.8,67,0,0,0,0,0
215,30,0.1,63,0,0,0,0,1
145,37,0.2,175,0,0,0,0,0
215,59,1.6,68,0,0,0,0,0
149,92,1.3,172,0,0,0,0,1
207,59,0.7,149,0,0,0,0,1
204,77,0.5,156,0,0,0,0,0
210,115,0.9,129,0,0,0,0,1
141,93,0.7,147,0,0,0,0,1
200,128,1.0,156,0,0,0,0,1
159,94,0.1,135,0,0,0,0,1
149,81,1.0,128,0,0,0,0,1
146,62,1.8,88,0,0,0,0,0
204,81,1.1,93,0,0,0,0,0
158,91,1.4,72,0,0,0,0,0
154,33,1.9,114,0,0,0,0,0
182,78,0.6,140,0,0,0,0,1
152,43,1.8,139,0,0,0,0,0
153,95,0.1,85,0,0,0,0,1
183,45,0.4,66,0,0,0,0,0
184,35,1.9,117,0,0,0,0,0
169,92,0.5,133,0,0,0,0,1
173,48,1.9,85,0,0,0,0,0
168,78,1.2,115,0,0,0,0,0
166,72,0.9,130,0,0,0,0,1
199,103,0.4,111,0,0,0,0,1
216,56,1.1,98,0,0,0,0,1
151,120,0.2,94,0,0,0,0,1
217,88,1.3,174,0,0,0,0,1
188,73,1.4,85,0,0,0,0,0
187,53,0.9,97,0,0,0,0,0
154,84,0.4,139,0,0,0,0,1
166,35,1.0,160,0,0,0,0,1
174,122,1.7,137,0,0,0,0,0
143,86,0.9,120,0,0,0,0,0
183,32,0.4,103,0,0,0,0,1
187,116,1.1,121,0,0,0,0,1
188,85,1.1,105,0,0,0,0,0
210,105,1.3,156,0,0,0,0,1
142,34,2.0,92,0,0,0,0,0
204,63,0.8,127,0,0,0,0,1
153,104,1.1,86,0,0,0,0,0
151,50,1.3,66,0,0,0,0,0
163,65,0.1,146,0,0,0,0,1
154,69,1.7,149,0,0,0,0,0
216,102,0.4,152,0,0,0,0,0
158,49,0.9,148,0,0,0,0,1
178,85,0.9,98,0,0,0,0,0
174,126,0.6,78,0,0,0,0,0
156,129,1.5,121,0,0,0,0,0
174,60,1.4,103,0,0,0,0,0
152,107,0.0,115,0,0,0,0,1
178,52,1.9,86,0,0,0,0,0
186,35,0.7,93,0,0,0,0,1
210,61,1.1,94,0,0,0,0,0
166,87,0.6,154,0,0,0,0,1
177,46,0.0,86,0,0,0,0,1
207,64,0.6,76,0,0,0,0,0
162,113,1.9,161,0,0,0,0,0
172,101,1.9,123,0,0,0,0,0
191,45,0.4,125,0,0,0,0,1
167,129,1.6,140,0,0,0,0,0
218,39,1.7,167,0,0,0,0,1
210,119,1.7,117,0,0,0,0,0
145,40,1.4,105,0,0,0,0,0
176,69,1.6,71,0,0,0,0,0
146,119,0.6,164,0,0,0,0,1
148,119,0.7,140,0,0,0,0,1
169,68,1.5,136,0,0,0,0,0
167,30,1.3,166,0,0,0,0,1
218,96,0.2,106,0,0,0,0,1
185,93,1.9,138,0,0,0,0,0
206,67,0.2,62,0,0,0,0,1
176,42,1.0,100,0,0,0,0,0
215,43,0.3,152,0,0,0,0,0
163,65,1.2,121,0,0,0,0,0
148,87,0.8,70,0,0,0,0,0
196,111,1.6,138,0,0,0,0,1
195,77,1.5,102,0,0,0,0,0
197,122,1.0,93,0,0,0,0,0
187,116,2.0,135,0,0,0,0,0
209,107,0.1,62,0,0,0,0,1
183,95,0.1,97,0,0,0,0,1
147,87,0.5,105,0,0,0,0,1
185,53,0.8,62,0,0,0,0,0
197,61,1.4,103,0,0,0,0,0
208,117,0.3,166,0,0,0,0,0
142,121,1.6,70,0,0,0,0,0
206,112,1.2,121,0,0,0,0,1
149,127,1.3,68,0,0,0,0,0
215,82,1.8,114,0,0,0,0,0
174,76,1.2,90,0,0,0,0,0
208,30,0.4,94,0,0,0,0,1
150,116,1.8,99,0,0,0,0,0
195,128,1.5,84,0,0,0,0,0
148,44,0.1,127,0,0,0,0,1
185,129,1.7,76,0,0,0,0,0
156,33,0.2,123,0,0,0,0,1
187,53,0.5,84,0,0,0,0,1
202,58,1.5,178,0,0,0,0,1
191,45,1.1,150,0,0,0,0,1
170,87,0.3,79,0,0,0,0,0
166,119,2.0,106,0,0,0,0,0
216,99,0.5,133,0,0,0,0,1
158,95,0.9,177,0,0,0,0,1
198,63,1.5,112,0,0,0,0,0
207,82,0.3,144,0,0,0,0,0
205,52,0.4,147,0,0,0,0,0
213,42,1.4,144,0,0,0,0,1
156,55,0.6,98,0,0,0,0,0
176,73,1.2,76,0,0,0,0,0
147,111,0.4,111,0,0,0,0,1
184,96,0.6,106,0,0,0,0,1
158,35,1.2,151,0,0,0,0,1
178,37,0.9,87,0,0,0,0,0
211,64,0.6,160,0,0,0,0,0
166,52,0.8,97,0,0,0,0,0
216,55,2.0,116,0,0,0,0,0
156,81,1.8,153,0,0,0,0,0
147,96,1.2,69,0,0,0,0,0
172,46,2.0,143,0,0,0,0,0
204,47,1.5,150,0,0,0,0,1
218,62,1.7,130,0,0,0,0,1
150,41,1.5,135,0,0,0,0,0
171,115,0.4,112,0,0,0,0,1
206,102,0.4,98,0,0,0,0,1
153,63,1.7,156,0,0,0,0,0
198,77,0.0,95,0,0,0,0,1
140,76,1.2,161,0,0,0,0,1
183,40,1.5,159,0,0,0,0,1
194,41,1.3,169,0,0,0,0,1
183,36,1.5,170,0,0,0,0,1
184,44,2.0,88,0,0,0,0,0
188,121,1.7,153,0,0,0,0,1
215,47,1.9,111,0,0,0,0,0
170,49,1.8,60,0,0,0,0,0
218,54,1.0,163,0,0,0,0,1
153,65,1.9,62,0,0,0,0,0
155,110,1.1,125,0,0,0,0,0
148,128,0.1,90,0,0,0,0,1
172,82,0.0,105,0,0,0,0,1
214,52,0.0,133,0,0,0,0,0
176,92,1.1,145,0,0,0,0,1
169,125,0.4,116,0,0,0,0,1
204,84,0.2,76,0,0,0,0,1
217,39,0.1,113,0,0,0,0,1
180,115,1.8,176,0,0,0,0,1
143,86,1.8,154,0,0,0,0,0
163,112,1.2,142,0,0,0,0,1
218,76,1.2,145,0,0,0,0,1
219,113,0.6,174,0,0,0,0,0
158,125,0.1,133,0,0,0,0,1
167,75,1.2,146,0,0,0,0,1
185,71,0.9,153,0,0,0,0,1
207,89,1.9,83,0,0,0,0,0
203,32,1.2,121,0,0,0,0,1
193,78,1.3,72,0,0,0,0,0
146,40,0.2,67,0,0,0,0,0
218,89,0.2,72,0,0,0,0,1
199,48,1.3,72,0,0,0,0,0
168,83,0.5,90,0,0,0,0,0
161,110,1.2,137,0,0,0,0,1
164,51,1.7,101,0,0,0,0,0
151,116,1.2,177,0,0,0,0,1
160,121,1.1,82,0,0,0,0,0
192,38,0.8,167,0,0,0,0,1
201,103,0.0,164,0,0,0,0,0
186,95,1.5,99,0,0,0,0,0
211,45,2.0,147,0,0,0,0,1
196,34,1.4,131,0,0,0,0,1
191,93,0.7,76,0,0,0,0,0
210,45,0.9,176,0,0,0,0,0
149,128,0.4,118,0,0,0,0,1
186,96,1.7,163,0,0,0,0,1
196,38,1.0,115,0,0,0,0,1
168,59,1.2,122,0,0,0,0,0
177,61,0.9,91,0,0,0,0,0
216,104,1.7,135,0,0,0,0,1
149,114,0.6,127,0,0,0,0,1
169,54,1.4,169,0,0,0,0,1
141,68,0.7,73,0,0,0,0,0
169,81,1.7,89,0,0,0,0,0
218,57,0.2,157,0,0,0,0,0
140,128,0.1,147,0,0,0,0,1
170,60,1.2,75,0,0,0,0,0
174,118,1.4,130,0,0,0,0,0
180,77,1.5,66,0,0,0,0,0
198,113,1.8,70,0,0,0,0,0
187,105,0.3,166,0,0,0,0,0
197,105,0.2,165,0,0,0,0,0
207,113,0.7,62,0,0,0,0,0
176,69,0.5,134,0,0,0,0,1
179,73,1.6,137,0,0,0,0,0
144,126,1.3,108,0,0,0,0,0
150,128,1.2,152,0,0,0,0,1
144,102,0.1,154,0,0,0,0,1
197,122,0.3,104,0,0,0,0,1
151,39,1.0,89,0,0,0,0,0
206,109,0.5,121,0,0,0,0,1
151,72,1.2,178,0,0,0,0,1
171,83,1.9,152,0,0,0,0,0
159,107,0.6,133,0,0,0,0,1
180,128,0.5,108,0,0,0,0,1
210,82,1.9,84,0,0,0,0,0
187,31,0.5,164,0,0,0,0,0
143,118,1.3,173,0,0,0,0,1
185,65,1.9,141,0,0,0,0,0
172,129,1.8,78,0,0,0,0,0
181,129,1.6,92,0,0,0,0,0
207,84,0.1,99,0,0,0,0,1
173,59,0.8,158,0,0,0,0,1
182,100,0.3,63,0,0,0,0,0
145,50,0.0,66,0,0,0,0,0
202,64,0.9,145,0,0,0,0,1
158,113,1.6,167,0,0,0,0,1
186,49,1.8,81,0,0,0,0,0
193,83,0.8,126,0,0,0,0,1
157,48,1.6,68,0,0,0,0,0
184,123,0.7,173,0,0,0,0,0
188,59,0.8,99,0,0,0,0,1
155,126,1.5,170,0,0,0,0,1
162,42,0.7,93,0,0,0,0,0
198,111,1.7,120,0,0,0,0,0
191,78,1.3,145,0,0,0,0,1
169,91,1.6,173,0,0,0,0,1
191,94,1.7,119,0,0,0,0,0
143,126,1.4,164,0,0,0,0,1
144,78,0.1,69,0,0,0,0,0
148,86,1.7,109,0,0,0,0,0
181,61,0.1,65,0,0,0,0,1
169,100,0.2,139,0,0,0,0,1
215,113,1.3,77,0,0,0,0,0
141,98,0.9,142,0,0,0,0,1
184,120,0.0,98,0,0,0,0,1
209,55,1.6,113,0,0,0,0,0
145,54,1.6,122,0,0,0,0,0
145,95,0.7,157,0,0,0,0,1
215,66,0.5,65,0,0,0,0,0
142,124,0.1,144,0,0,0,0,1
198,83,0.4,85,0,0,0,0,1
191,116,0.5,96,0,0,0,0,1
156,32,1.5,137,0,0,0,0,0
148,47,0.1,130,0,0,0,0,1
183,46,1.5,105,0,0,0,0,0
212,34,0.8,101,0,0,0,0,1
189,108,1.7,168,0,0,0,0,1
157,83,0.7,174,0,0,0,0,1
200,113,1.6,178,0,0,0,0,1
168,128,1.8,92,0,0,0,0,0
147,57,0.3,145,0,0,0,0,1
201,46,1.8,97,0,0,0,0,0
194,69,0.4,160,0,0,0,0,0
170,35,0.8,164,0,0,0,0,1
180,79,0.9,138,0,0,0,0,1
204,48,1.4,70,0,0,0,0,0
159,79,1.3,96,0,0,0,0,0
214,66,0.1,137,0,0,0,0,0
159,90,0.0,136,0,0,0,0,1
145,60,0.4,88,0,0,0,0,0
167,33,1.6,127,0,0,0,0,0
140,87,1.2,73,0,0,0,0,0
202,69,1.3,155,0,0,0,0,1
183,72,0.1,87,0,0,0,0,1
165,81,0.4,131,0,0,0,0,1
204,78,1.7,80,0,0,0,0,0
180,104,1.3,176,0,0,0,0,1
145,49,0.6,115,0,0,0,0,1
171,97,2.0,160,0,0,0,0,0
142,117,1.4,68,0,0,0,0,0
187,87,1.5,87,0,0,0,0,0
160,117,2.0,132,0,0,0,0,0
182,107,1.8,161,0,0,0,0,1
215,106,1.4,170,0,0,0,0,1
214,56,0.9,125,0,0,0,0,1
154,116,1.5,102,0,0,0,0,0
186,126,1.2,89,0,0,0,0,0
144,64,0.4,72,0,0,0,0,0
152,35,2.0,78,0,0,0,0,0
151,33,0.9,71,0,0,0,0,0
158,75,0.8,127,0,0,0,0,1
174,97,0.9,105,0,0,0,0,0
211,50,2.0,134,0,0,0,0,0
172,121,0.7,76,0,0,0,0,0
182,60,0.2,114,0,0,0,0,1
190,68,1.6,62,0,0,0,0,0
201,124,0.6,137,0,0,0,0,1
140,129,1.8,143,0,0,0,0,0
201,47,0.9,153,0,0,0,0,1
161,118,0.6,70,0,0,0,0,0
166,36,1.6,171,0,0,0,0,1
202,30,1.3,89,0,0,0,0,0
199,69,1.8,87,0,0,0,0,0
201,68,0.3,69,0,0,0,0,1
192,36,1.4,111,0,0,0,0,0
202,33,1.7,161,0,0,0,0,1
164,59,0.4,97,0,0,0,0,1
216,55,1.1,108,0,0,0,0,1
162,122,0.2,90,0,0,0,0,1
211,75,0.8,68,0,0,0,0,0
149,102,0.5,175,0,0,0,0,1
144,73,1.2,60,0,0,0,0,0
165,113,1.9,68,0,0,0,0,0
172,64,0.9,132,0,0,0,0,1
150,79,0.7,67,0,0,0,0,0
165,91,0.9,106,0,0,0,0,0
168,62,1.1,171,0,0,0,0,1
188,30,0.4,126,0,0,0,0,1
204,101,1.1,142,0,0,0,0,1
162,67,1.9,94,0,0,0,0,0
198,38,1.9,91,0,0,0,0,0
197,101,0.2,62,0,0,0,0,1
154,128,2.0,178,0,0,0,0,1
179,59,1.0,147,0,0,0,0,1
157,95,1.2,77,0,0,0,0,0
184,117,0.6,103,0,0,0,0,1
154,127,1.2,125,0,0,0,0,0
150,37,0.4,169,0,0,0,0,1
198,120,0.6,90,0,0,0,0,1
192,101,1.7,104,0,0,0,0,0
187,63,0.8,137,0,0,0,0,1
205,45,0.2,63,0,0,0,0,1
174,107,1.0,157,0,0,0,0,1
157,99,0.2,114,0,0,0,0,1
173,54,1.7,108,0,0,0,0,0
150,76,0.3,144,0,0,0,0,1
192,69,0.7,85,0,0,0,0,0
191,71,0.5,171,0,0,0,0,0
157,86,0.4,171,0,0,0,0,0
183,70,1.8,123,0,0,0,0,0
155,40,0.9,63,0,0,0,0,0
166,63,0.1,84,0,0,0,0,1
193,101,1.7,86,0,0,0,0,0
201,124,0.5,89,0,0,0,0,1
195,34,0.9,70,0,0,0,0,0
204,64,0.6,63,0,0,0,0,0
192,41,0.0,146,0,0,0,0,0
